,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
77563,7/18/2020 15:42,2.70319E+15,fraud_Kihn-Fritsch,food_dining,110.12,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,ad2eb9c5a3618195ab3dfd91249433d7,1374162132,36.97407,-81.273239,1
77911,7/18/2020 18:43,2.45408E+15,fraud_Koepp-Parker,grocery_pos,275.16,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,6beed30795e2b445b67006f1b1fedbc4,1374173038,46.163505,-94.396501,1
78185,7/18/2020 21:00,3.53433E+15,fraud_Gottlieb-Hansen,personal_care,21.38,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,01cee15563baafd4d02faf52b1a20af7,1374181249,44.535431,-109.646361,1
78315,7/18/2020 22:03,2.45408E+15,fraud_Kuphal-Predovic,misc_net,828.22,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,9917b85781e97bdebb160301ab984360,1374185000,47.829339,-93.985386,1
78329,7/18/2020 22:09,2.45408E+15,"fraud_Zboncak, Rowe and Murazik",shopping_net,958.05,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,a17a4a799bd40548b05052eb3170c2ee,1374185378,46.292061,-94.024468,1
78331,7/18/2020 22:10,3.53433E+15,fraud_Kerluke-Abshire,shopping_net,988.18,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,22a5a0ffee29d19050b4767ea0dc819d,1374185431,44.349078,-109.156419,1
78379,7/18/2020 22:31,2.45408E+15,fraud_Conroy Ltd,shopping_pos,822.11,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,f2d7c66699d2c9d88f624c78de4135f5,1374186716,47.649872,-94.655308,1
78434,7/18/2020 23:01,2.45408E+15,fraud_Bashirian Group,shopping_net,1133.57,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,0cce1a1eceab279595379dc84d96533f,1374188496,47.275469,-93.430403,1
78505,7/18/2020 23:37,3.53433E+15,"fraud_Quitzon, Green and Bashirian",shopping_pos,742.91,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,e64e044824c37a89d0c53939e36a3bd0,1374190620,44.290493,-108.71719,1
78603,7/19/2020 0:28,2.45408E+15,fraud_Bernhard Inc,gas_transport,9.41,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,ab0dfdf36527942d982c6e41e3708f77,1374193705,46.308768,-94.650591,1
78682,7/19/2020 1:07,2.70319E+15,fraud_Koepp-Witting,grocery_pos,332.91,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,2ad2b7da0f36d76ed128d147d0c11412,1374196025,35.30356,-82.042157,1
78683,7/19/2020 1:07,3.53433E+15,fraud_Wolf Inc,grocery_pos,353.79,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,00e1aa5fc1a0db12757e9ff6e820339d,1374196060,45.057183,-107.993248,1
78804,7/19/2020 2:10,4.42878E+18,"fraud_Osinski, Ledner and Leuschke",grocery_pos,316.6,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,15495afe31a08a1e14b9a7b8a21eeba3,1374199834,43.063944,-88.67823,1
78846,7/19/2020 2:32,3.53433E+15,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,306.87,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,858b9e8b93007f6fbe6f4eae37bd7158,1374201149,46.111363,-109.876927,1
78851,7/19/2020 2:35,4.42878E+18,fraud_Mraz-Herzog,gas_transport,11.61,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,031dd9029aed8851e98fbd640f5fd43d,1374201309,43.659984,-88.720395,1
78873,7/19/2020 2:46,2.70319E+15,fraud_Lemke-Gutmann,shopping_net,1114.79,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,a7ae1548209b1977680d7d05445d058e,1374201977,36.10807,-81.120944,1
78966,7/19/2020 3:40,2.45408E+15,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,306.75,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,a1e15b780073e53186005b492f269f50,1374205249,46.917912,-93.198711,1
79083,7/19/2020 4:39,4.42878E+18,fraud_Kiehn Inc,grocery_pos,276.43,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,8f7e0802bc1fc5c0ab7c0abf42b20574,1374208751,43.592156,-88.313107,1
79834,7/19/2020 11:12,2.70319E+15,fraud_Gerlach Inc,shopping_net,981.45,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,02a7923e18e7cd2f886ee3c5aa0f3416,1374232354,36.576273,-81.304536,1
80749,7/19/2020 16:52,3.53433E+15,"fraud_Reichert, Rowe and Mraz",shopping_net,1022.5,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,67b6463c531115094f3284eabbf77dc2,1374252732,45.113582,-108.650595,1
81469,7/19/2020 21:02,2.70319E+15,"fraud_Hettinger, McCullough and Fay",home,218.12,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,3007437b564425168be435037bf1d958,1374267721,35.411375,-81.649807,1
81647,7/19/2020 22:00,3.53433E+15,fraud_Kuphal-Predovic,misc_net,779.4,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,2bcd83706161cc85fb485696159c0b1e,1374271256,46.115585,-108.565385,1
81662,7/19/2020 22:05,4.42878E+18,"fraud_Reichert, Huels and Hoppe",shopping_net,1040.83,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,71ba289e95b080d29e8d0cc987fc726d,1374271533,42.513649,-88.337195,1
81684,7/19/2020 22:13,3.53433E+15,"fraud_Zboncak, Rowe and Murazik",shopping_net,857.24,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,a47d4329a158dd2c63027c30890be3ed,1374272005,46.047818,-109.446927,1
81697,7/19/2020 22:15,2.45408E+15,fraud_Beier-Hyatt,shopping_pos,795.09,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,2f0bc836dc7e1d03fafc5ed6878a6029,1374272159,47.158087,-93.759129,1
81702,7/19/2020 22:17,2.70319E+15,"fraud_Cronin, Kshlerin and Weber",health_fitness,20.43,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,aa89941e109eb72ef4909a342f17f870,1374272260,35.946295,-80.57757,1
81715,7/19/2020 22:21,3.53433E+15,fraud_Heaney-Marquardt,entertainment,503.53,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,a4b226b750ab2e04f80c024834977b15,1374272481,44.557191,-107.920422,1
81731,7/19/2020 22:26,4.42878E+18,fraud_Klocko LLC,misc_net,890.68,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,84674cce855303c45f6b5964892fd003,1374272791,42.848162,-87.778512,1
81736,7/19/2020 22:27,4.42878E+18,"fraud_Bernier, Volkman and Hoeger",misc_net,694.13,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,5048b0028976310e09834403de1bc4cb,1374272860,43.144953,-88.419539,1
81752,7/19/2020 22:32,2.70319E+15,fraud_Gaylord-Powlowski,home,254.25,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,b443cb64e4f67180db49592070cec0b3,1374273159,37.05618,-81.142727,1
81757,7/19/2020 22:33,3.53433E+15,fraud_Beer-Jast,kids_pets,18.86,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,b43ec1f961b7967e742eddf48ca7045b,1374273225,45.869047,-108.51966,1
81775,7/19/2020 22:38,3.75534E+14,"fraud_Reichert, Shanahan and Hayes",shopping_net,1000.47,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,8a449d7fd31a1bed7ea3d727aa4df4a6,1374273512,38.442526,-78.556268,1
81833,7/19/2020 23:00,2.45408E+15,fraud_Roob-Okuneva,health_fitness,23.34,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,19bbfe4dd4cd6f71f659012c0ca45f7d,1374274812,46.150896,-94.020578,1
81835,7/19/2020 23:01,2.45408E+15,fraud_Erdman-Ebert,personal_care,22.66,Robert,Andrade,M,27720 Martin Hills,Remer,MN,56672,47.0874,-93.9196,2097,Insurance risk surveyor,10/27/1987,2a6ccf783ea7c6ccbc9c43112ff86860,1374274900,46.385726,-93.212891,1
81839,7/19/2020 23:02,3.75534E+14,fraud_Strosin-Cruickshank,grocery_pos,304.55,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,fb23e173c635781fb9d63505065987a6,1374274951,38.009625,-78.766662,1
81861,7/19/2020 23:10,3.53433E+15,fraud_Jast Ltd,shopping_net,843.65,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,814ff486439058aa89b8070b5f962d4e,1374275440,45.933766,-109.034805,1
81872,7/19/2020 23:15,2.70319E+15,fraud_Ullrich Ltd,kids_pets,17.41,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,3f9a7e00a75941a8e99541469f23c850,1374275744,36.305746,-80.929714,1
81909,7/19/2020 23:25,3.53433E+15,"fraud_Heathcote, Yost and Kertzmann",shopping_net,723.15,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,4f1077d7caab592a698de7ec0bffb2c9,1374276355,45.866906,-108.506112,1
81937,7/19/2020 23:35,2.70319E+15,fraud_Auer LLC,personal_care,16.5,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",3/9/1988,f352a501c940c19d532cfca12627b1f6,1374276950,36.030888,-80.282022,1
81960,7/19/2020 23:45,3.75534E+14,fraud_Kuhic LLC,shopping_net,1036.64,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,88156d1e6a4068c0a4e37100d3c57e80,1374277530,38.650959,-79.825939,1
81979,7/19/2020 23:55,4.42878E+18,"fraud_Little, Gutmann and Lynch",shopping_net,1068.32,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,9ad5f1ab3c823bef5599438aa341ae99,1374278153,42.727735,-88.402605,1
81992,7/20/2020 0:00,2.26822E+15,fraud_Mante Group,misc_net,707.11,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1/2/1985,bdcf069b640bdfedcca63e529c0d9205,1374278452,44.993214,-123.335403,1
82009,7/20/2020 0:06,2.26822E+15,"fraud_Towne, Greenholt and Koepp",shopping_net,967.39,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1/2/1985,afe3b8a3dd4e23951963ffcfa5f6668f,1374278798,46.221079,-123.626395,1
82020,7/20/2020 0:11,3.75534E+14,"fraud_Heller, Gutmann and Zieme",grocery_pos,325.81,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,ab983e92f9606ea92c21d071f7cb5ee4,1374279103,37.806283,-79.305935,1
82124,7/20/2020 0:57,4.42878E+18,"fraud_Tillman, Dickinson and Labadie",gas_transport,7.28,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,cb260e8b203ed37c6fe087ea9e36c8bd,1374281869,43.879333,-88.726794,1
82125,7/20/2020 0:57,4.22599E+18,"fraud_Olson, Becker and Koch",gas_transport,7.41,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,2a48081f8dd790d4a2afb054c5393928,1374281878,20.916219,-155.319163,1
82203,7/20/2020 1:36,4.87402E+15,"fraud_Moen, Reinger and Murphy",grocery_pos,340.67,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,fa92fd0233ce046c658ce2582e1eb5b2,1374284196,46.125588,-123.173937,1
82387,7/20/2020 3:05,3.75534E+14,fraud_Rutherford-Mertz,grocery_pos,302.77,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,513024545e4bdd5e21a7f3baa7a9979b,1374289518,39.208633,-79.91475,1
82388,7/20/2020 3:05,3.75534E+14,"fraud_Swift, Bradtke and Marquardt",grocery_net,8.39,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,c2a4a1fc199b9e710c6959b9d2f7a4f1,1374289554,38.424982,-79.419165,1
84649,7/20/2020 17:20,3.75534E+14,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,790.22,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,e7ba0019e888ef85d2184ef49cf2723c,1374340808,38.864226,-79.199637,1
85650,7/20/2020 22:00,3.75534E+14,fraud_Beier-Hyatt,shopping_pos,768.27,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,9d6e31b4112884d09342eb612fd4a410,1374357644,37.906677,-79.129539,1
85656,7/20/2020 22:02,3.75534E+14,"fraud_Huel, Hammes and Witting",grocery_pos,317.09,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,b38de308e469d41544767e1b9c5b513d,1374357770,37.588409,-78.581611,1
85669,7/20/2020 22:05,3.75534E+14,"fraud_Ruecker, Beer and Collier",shopping_net,1152.49,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,7dfa0c04f69b0b82875e6fd6134c6f9e,1374357935,38.877282,-79.924397,1
85670,7/20/2020 22:05,3.75534E+14,fraud_Durgan-Auer,misc_net,920.6,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,880e729d8adabcac2c9f0610b52ff14a,1374357945,38.831006,-79.108034,1
85686,7/20/2020 22:11,3.75534E+14,"fraud_Schoen, Nienow and Bauch",personal_care,19.19,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,19fb71b43f161428119ae56c102d9cad,1374358301,38.582544,-79.508562,1
85691,7/20/2020 22:12,4.42878E+18,fraud_O'Keefe-Hudson,grocery_pos,304.85,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,063cb6f35ed1f048c4d80a59093826b8,1374358357,43.126331,-88.10964,1
85700,7/20/2020 22:14,4.22599E+18,"fraud_Ferry, Lynch and Kautzer",misc_net,866.99,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,5f9ddb00cb52b8b3570209af2dd0f7a2,1374358493,20.990102,-154.986614,1
85715,7/20/2020 22:18,4.22599E+18,"fraud_Swaniawski, Lowe and Robel",shopping_pos,981.64,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,4e53601ea55e6cc353139314d4ead668,1374358736,19.607092,-155.217781,1
85764,7/20/2020 22:33,4.87402E+15,"fraud_Eichmann, Hayes and Treutel",travel,9.09,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,7d55362d89494d73b0d06f749b766960,1374359581,45.517912,-122.373091,1
85779,7/20/2020 22:36,4.22599E+18,"fraud_Labadie, Treutel and Bode",shopping_net,1055.28,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,e99057b3037ac364cbcbb3e9b6493d54,1374359793,20.263798,-155.011675,1
85854,7/20/2020 22:57,3.75534E+14,fraud_DuBuque LLC,grocery_pos,316.07,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,3/28/1986,707156f465ee98d4c9b5ddc43a702cf9,1374361049,39.279,-79.143204,1
85863,7/20/2020 23:00,4.42878E+18,fraud_Boyer PLC,shopping_net,995.02,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,9fc83f489f0012616b4d6fd64a755b8d,1374361239,43.29782,-87.309968,1
85879,7/20/2020 23:05,4.42878E+18,"fraud_Kihn, Abernathy and Douglas",shopping_net,960.91,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,91d495ec9b58c64a5815c3c4af86f148,1374361514,42.027111,-88.529956,1
85897,7/20/2020 23:10,4.87402E+15,fraud_Erdman-Ebert,personal_care,21.48,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,57f4fc4fdd55f5023182483796c0f44b,1374361836,45.299985,-122.538645,1
85908,7/20/2020 23:16,4.22599E+18,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,888.45,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,78eb12322647016f44792a0110409c73,1374362186,19.393922,-156.469371,1
85967,7/20/2020 23:35,4.42878E+18,fraud_Kerluke-Abshire,shopping_net,1076.88,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1/2/1946,c62355b0854c230cf9da86a158dfc6da,1374363337,43.725099,-88.993541,1
86000,7/20/2020 23:45,4.87402E+15,fraud_Stark-Koss,home,274.01,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,cd05b87c1f22509e7b64d4dab6a3ad49,1374363928,44.510266,-122.022782,1
86102,7/21/2020 0:22,4.87402E+15,fraud_Stamm-Rodriguez,misc_pos,7.09,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,828bdfa0f152a6fafa5606d50909199b,1374366126,46.005943,-123.597116,1
86124,7/21/2020 0:31,4.87402E+15,"fraud_Koss, McLaughlin and Mayer",food_dining,118.54,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,05f1169b0df305901dfe121ef8adc380,1374366715,45.410675,-123.397432,1
86150,7/21/2020 0:49,4.7973E+18,"fraud_Kuhic, Bins and Pfeffer",shopping_net,758.2,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,1304671b6058fadb43f297b97ae419ff,1374367762,38.468934,-86.302768,1
86261,7/21/2020 1:43,2.26822E+15,fraud_Friesen Inc,shopping_pos,694.91,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1/2/1985,c645750796d982e5e4d9b073769fc9ae,1374370985,44.932577,-123.071139,1
86283,7/21/2020 1:54,4.87402E+15,fraud_Schmidt and Sons,shopping_net,952.53,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,5/28/1982,8a30c1f1f5ad3b1cbdfae8644eed6201,1374371687,46.359524,-123.032119,1
86348,7/21/2020 2:23,4.7973E+18,"fraud_Raynor, Reinger and Hagenes",gas_transport,10.86,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,1f4186d167468fe5df63857ab965d1aa,1374373390,39.017017,-86.076657,1
86373,7/21/2020 2:32,4.7973E+18,fraud_Rau and Sons,grocery_pos,310.49,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,643a392353d6f4d56fdca29f2a912ea8,1374373935,38.25085,-86.730716,1
88338,7/21/2020 15:45,4.22599E+18,fraud_Kozey-Boehm,shopping_net,979.57,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,9633c6486fee0f27263f14bdd1b53703,1374421505,20.184493,-156.069084,1
89628,7/21/2020 22:24,4.22599E+18,fraud_Strosin-Cruickshank,grocery_pos,306.85,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,318ef54276eedaaab82ca8909d14057a,1374445456,19.161782,-155.890773,1
89644,7/21/2020 22:28,4.7973E+18,fraud_Ruecker-Mayert,kids_pets,17.79,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,404dfc0e52a5d25a1b50bdf0cd3d467c,1374445699,39.721608,-86.457261,1
89757,7/21/2020 22:59,4.22599E+18,fraud_Schamberger-O'Keefe,grocery_pos,293.98,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,3942ce527006baa2ae489511ca39ee55,1374447542,20.964497,-156.480766,1
89772,7/21/2020 23:03,4.7973E+18,fraud_Beer-Jast,kids_pets,22.02,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,35cd8447417ccf8d5938c04cf5eabd34,1374447827,38.596484,-86.172363,1
89798,7/21/2020 23:09,4.7973E+18,"fraud_Cole, Hills and Jewess",home,262.82,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,47a17730149a907b1175bda0119f64e0,1374448188,38.602859,-86.306075,1
89849,7/21/2020 23:27,4.7973E+18,fraud_Lynch-Wisozk,home,230.51,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,18f87d6957dd75e64e9f100059325bcb,1374449260,39.762481,-85.862616,1
89926,7/21/2020 23:49,4.22599E+18,fraud_Durgan-Auer,misc_net,784.55,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,12/3/1966,d5aea7ebde800a5b031219eab8d66719,1374450545,20.022969,-155.387994,1
89934,7/21/2020 23:50,4.7973E+18,"fraud_Wuckert, Wintheiser and Friesen",home,271.38,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,f9386d1aa8c46df41cc116098e24c8d7,1374450640,39.780983,-86.236041,1
89939,7/21/2020 23:54,4.7973E+18,fraud_Cruickshank-Mills,entertainment,547.99,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,4bd7db50ab7fd4ffbf14e4199e0ae4a2,1374450866,38.00437,-87.027053,1
90006,7/22/2020 0:39,4.7973E+18,fraud_McCullough LLC,misc_pos,789.86,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,b8ab28a57adab274e324b6ee3f3686ff,1374453575,39.203152,-87.417352,1
90012,7/22/2020 0:45,4.19574E+12,fraud_Erdman-Kertzmann,gas_transport,12.4,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",4/4/1963,ad131a6f55acb2f9cf860cc34af04bec,1374453920,45.619941,-123.009911,1
90114,7/22/2020 2:22,4.19574E+12,"fraud_Olson, Becker and Koch",gas_transport,9.31,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",4/4/1963,bb07c9171256dce872000c1766c15854,1374459737,44.901522,-122.60014,1
90132,7/22/2020 2:39,4.7973E+18,fraud_Torp-Labadie,gas_transport,8.81,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,3/13/1991,d94b12b3e7c8785ac97a790a24091974,1374460791,39.429037,-87.423242,1
90156,7/22/2020 3:11,4.19574E+12,"fraud_Connelly, Reichert and Fritsch",gas_transport,8.2,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",4/4/1963,069c9549a8384f758c5d2a83299c7b1a,1374462686,45.125215,-123.364694,1
